0.29,0.27,0.25,0.22,0.30,0.28,0.26,0.21,0.23,0.24,0.16,0.15,0.17,0.13,0.15,0.15,0.13,0.08,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.92,1.95,1.96,1.96,1.80,1.58,1.48,1.53,1.53,1.51,1.54,1.43,1.40,1.51,1.43,1.54,1.88,2.44,2.43,2.58,2.74,2.47,2.30,2.22,2.18,2.33,2.08,1.99,2.03,1.94,1.70,1.49,1.17,0.52,0.37,0.31,0.67,0.61,0.82,0.43,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.06,0.09,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.24,0.11,0.13
0.61,0.47,0.51,0.72,0.78,0.70,0.71,0.93,1.51,2.01,1.85,1.77,1.50,1.19,1.22,1.21,1.31,1.49,1.33,1.35,1.52,1.35,1.01,0.72,0.79,0.52,0.49,0.39,0.34,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.99,7.72,7.26,7.05,6.49,5.98,6.17,5.70,4.68,4.31,4.03,4.22,3.89,3.89,4.70,4.85,5.10,5.02,4.85,4.46,4.64,4.39,4.47,4.07,4.91,4.72,5.28,4.76,5.35,5.49,5.42,5.49,4.06,2.81,3.29,2.64,3.01,2.17,2.19,1.93,2.05,1.52,0.79,0.51,0.46,0.28,0.17,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.12,0.20,0.08,0.36,0.52,0.47,0.51,0.71,0.84,0.81,0.74,0.53,0.30,0.16,0.15,0.00,0.00,0.00
0.41,0.25,0.28,0.30,0.29,0.48,0.38,0.34,0.23,0.23,0.18,0.28,0.34,0.29,0.26,0.25,0.28,0.27,0.24,0.19,0.17,0.19,0.24,0.21,0.18,0.13,0.15,0.19,0.14,0.12,0.17,0.15,0.17,0.16,0.16,0.00,0.00,0.16,0.13,0.11,0.09,0.09,0.08,0.06,0.05,0.06,0.05,0.04,0.04,0.03,0.03
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.04,0.04,0.06,0.09,0.10,0.13,0.12,0.13,0.16,0.11,0.08,0.06,0.07,0.07,0.11,0.07,0.03,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.00,0.00,0.00,0.06,0.00
0.22,0.22,0.19,0.19,0.21,0.20,0.18,0.18,0.17,0.12,0.13,0.13,0.12,0.11,0.08,0.05,0.04,0.04,0.03,0.03,0.04,0.06,0.06,0.10,0.16,0.19,0.16,0.14,0.18,0.14,0.11,0.09,0.10,0.11,0.13,0.11,0.15,0.18,0.16,0.15,0.14,0.13,0.05,0.06,0.06,0.05,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.27,0.36,0.29,0.22,0.13,0.10,0.09,0.05,0.05,0.06,0.05,0.09,0.13,0.20,0.16,0.18,0.21,0.12,0.11,0.19,0.25,0.36,0.64
